name;position;height;weight
Mason Plumlee;Ala;2.11;108
Jakob Poeltl;Ala;2.16;108.4
Dwight Powell;Pivo;2.08;106.1
Taurean Prince;Ala;2.01;99.8
Dario Saric;Ala;2.08;98
Collin Sexton;Armador;1.85;86.2
Dennis Smith;Armador;1.88;88.5
Cody Zeller;Ala;2.13;104.3
Ivica Zubac;Pivo;2.13;120.2
Jarrett Culver;Armador;1.98;88.5
Willy Hernangomez;Ala;2.11;115.7
Trevor Ariza;Armador;2.03;95.3
DJ Augustin;Armador;1.8;81.6
Jose Juan Barea;Armador;1.78;79.4
Michael Beasley;Ala;2.08;106.6
Davis Bertans;Ala;2.08;95.7
Avery Bradley;Armador;1.91;88.5
Miles Bridges;Ala;1.98;102.1
Jalen Brunson;Armador;1.85;86.2
Kentavious Caldwell-Pope;Armador;1.96;92.5
Jae Crowder;Ala;1.98;106.6
Dewayne Dedmon;Pivo;2.13;108.4
Gorgui Dieng;Pivo;2.08;104.3
Gerald Green;Armador;1.98;87.1
Jeff Green;Ala;2.03;106.6
Rodney Hood;Ala;2.03;94.3
Kevin Huerter;Armador;2.01;86.2
Ersan Ilyasova;Ala;2.06;106.6
Jonathan Isaac;Ala;2.11;93
Josh Jackson;Ala;2.03;92.1
Frank Kaminsky;Pivo;2.13;104.8
Michael Kidd-Gilchrist;Ala;1.98;105.2
Kevin Knox;Ala;2.01;97.5
Meyers Leonard;Pivo;2.13;111.1
Wesley Matthews;Armador;1.93;99.8
Emmanuel Mudiay;Armador;1.91;86.2
Jahlil Okafor;Pivo;2.08;122.5
Elfrid Payton;Armador;1.91;83.9
Michael Porter;Ala;2.08;97.5
Austin Rivers;Armador;1.91;90.7
Andre Roberson;Ala;2.01;93.4
Rajon Rondo;Armador;1.85;84.4
Landry Shamet;Armador;1.93;81.6
Daniel Theis;Pivo;2.03;97.5
Isaiah Thomas;Armador;1.75;83.9
Dion Waiters;Armador;1.91;95.3
Marvin Williams;Ala;2.03;108.9
Delon Wright;Armador;1.96;82.1
Coby White;Armador;1.93;83.9
Pau Gasol;Pivo;2.16;113.4
Aron Baynes;Pivo;2.08;117.9
Kent Bazemore;Armador;1.93;88.5
Marco Belinelli;Armador;1.96;90.7
Bismack Biyombo;Pivo;2.03;103.9
Mikal Bridges;Armador;1.98;94.8
Wilson Chandler;Armador;2.03;102.1
Damyean Dotson;Armador;1.96;91.6
Kris Dunn;Armador;1.91;93
Wayne Ellington;Armador;1.93;90.7
Bryn Forbes;Armador;1.88;84.8
Josh Hart;Armador;1.96;92.5
John Henson;Ala;2.06;99.8
Mario Hezonja;Armador;2.03;91.2
George Hill;Armador;1.91;81.6
Rondae Hollis-Jefferson;Ala;1.98;95.7
Richaun Holmes;Ala;2.08;110.2
James Johnson;Ala;2.01;111.1
Luke Kennard;Armador;1.96;88.9
Kyle Korver;Ala;2.01;96.2
Rodions Kurucs;Ala;2.06;97.5
Jake Layman;Ala;2.03;94.8
Robin Lopez;Pivo;2.13;115.7
Trey Lyles;Ala;2.06;109.3
Boban Marjanovic;Pivo;2.24;131.5
TJ McConnell;Armador;1.85;90.7
Patrick Mills;Armador;1.85;83.9
Malik Monk;Armador;1.91;89.4
Markieff Morris;Ala;2.03;111.1
Shabazz Napier;Armador;1.83;79.4
Cedi Osman;Armador;2.01;97.5
Tomas Satoransky;Armador;2.01;89.8
Mike Scott;Ala;2.01;107.5
Noah Vonleh;Ala;2.08;112
Allonzo Trier;Ala;1.93;90.7
Juan Hernangomez;Ala;2.06;99.8
Kyle Anderson;Ala;2.06;104.3
Jordan Bell;Pivo;2.03;101.6
Khem Birch;Pivo;2.06;94.8
Dillon Brooks;Ala;2.01;102.1
Reggie Bullock;Armador;1.98;90.7
Zach Collins;Pivo;2.11;105.2
Pat Connaughton;Armador;1.96;97.5
Quinn Cook;Armador;1.85;81.6
Torrey Craig;Armador;2.01;97.5
Seth Curry;Armador;1.88;81.6
Cheick Diallo;Pivo;2.03;99.3
Yogi Ferrell;Armador;1.83;80.7
Markelle Fultz;Armador;1.91;88.5
Harry Giles;Pivo;2.11;105.2
Moe Harkless;Ala;2.01;94.3
Justin Jackson;Armador;2.01;91.2
Tyler Johnson;Armador;1.91;84.4
Derrick Jones;Ala;1.98;88.5
Cory Joseph;Armador;1.91;83.9
Maxi Kleber;Pivo;2.08;95.7
TJ Leaf;Pivo;2.08;100.7
Doug McDermott;Ala;2.01;98.9
E'Twaun Moore;Armador;1.91;86.6
Joakim Noah;Pivo;2.11;103
Kyle O'Quinn;Pivo;2.06;108.9
Chandler Parsons;Ala;2.06;90.7
Norman Powell;Armador;1.91;97.5
Ivan Rabb;Pivo;2.08;99.8
Glenn Robinson III;Ala;1.98;95.7
Denzel Valentine;Armador;1.93;95.3
Robert Williams;Pivo;2.03;107.5
Christian Wood;Ala;2.08;98
Jaxson Hayes;Pivo;2.11;99.8
Rui Hachimura;Ala;2.03;102.1
OG Anunoby;Armador;2.01;105.2
Dwayne Bacon;Armador;1.98;99.8
DeAndre Bembry;Ala;1.96;93.9
Jonah Bolden;Ala;2.03;97.5
Sterling Brown;Armador;1.96;104.3
Bruce Brown;Armador;1.93;86.2
Troy Brown;Armador;1.98;97.5
Alec Burks;Armador;1.98;88.5
Alex Caruso;Armador;1.96;84.4
Tyson Chandler;Pivo;2.13;106.6
Allen Crabbe;Ala;1.96;89.4
Matthew Dellavedova;Armador;1.91;86.2
James Ennis;Ala;1.98;91.2
Dorian Finney-Smith;Ala;2.01;96.6
Shaquille Harrison;Armador;2.01;86.2
Aaron Holiday;Armador;1.83;83.9
Danuel House;Ala;1.98;99.8
Stanley Johnson;Ala;1.98;109.8
Tyus Jones;Armador;1.83;83.9
Furkan Korkmaz;Ala;2.01;83.9
Ian Mahinmi;Pivo;2.11;104.3
CJ Miles;Ala;1.98;105.2
Mike Muscala;Pivo;2.08;104.3
Frank Ntilikina;Armador;1.93;86.2
David Nwaba;Armador;1.96;95.3
Royce O'Neale;Ala;1.93;102.5
Semi Ojeleye;Ala;1.98;106.6
Josh Okogie;Armador;1.93;96.6
Jonathon Simmons;Ala;1.98;88.5
Ishmael Smith;Armador;1.83;79.4
Tony Snell;Ala;1.98;89.8
Omari Spellman;Ala;2.03;111.1
Garrett Temple;Ala;1.96;88.5
Evan Turner;Ala;1.98;93
Lonnie Walker;Armador;1.96;92.5
Brad Wanamaker;Armador;1.91;95.3
Ante Zizic;Pivo;2.08;113.4
Tyler Herro;Armador;1.96;88.5
Vincent Poirier;Pivo;2.13;106.6
Sekou Doumbouya;Ala;2.03;94.8
Brandon Clarke;Ala;2.03;97.5
Nicolo Melli;Ala;2.06;107
Nassir Little;Ala;1.96;99.8
Grayson Allen;Armador;1.93;93
Antonio Blakeney;Ala;1.93;89.4
Michael Carter-Williams;Armador;1.96;83.5
Troy Daniels;Armador;1.93;90.7
Donte DiVincenzo;Armador;1.93;93
Jared Dudley;Ala;1.98;102.1
Cristiano Felicio;Ala;2.08;122.5
Tim Frazier;Armador;1.83;77.1
Langston Galloway;Armador;1.85;91.6
Justin Holiday;Armador;1.98;81.6
Chandler Hutchison;Ala;2.01;88.9
Wesley Iwundu;Ala;1.98;93
Brandon Knight;Armador;1.88;85.7
Courtney Lee;Ala;1.96;90.7
Thon Maker;Pivo;2.13;98
Patrick McCaw;Armador;2.01;82.1
Rodney McGruder;Armador;1.93;93
Darius Miller;Ala;1.98;102.1
Raul Neto;Armador;1.85;77.1
Georges Niang;Ala;2.01;104.3
Cameron Payne;Armador;1.88;81.6
Anfernee Simons;Armador;1.91;82.1
Zhaire Smith;Ala;1.91;93
Anthony Tolliver;Ala;2.03;108.9
DJ Wilson;Ala;2.08;106.1
Alfonzo McKinnie;Ala;2.03;97.5
Romeo Langford;Armador;1.93;98
Grant Williams;Ala;1.98;107
Nicolas Claxton;Pivo;2.11;97.5
PJ Washington;Ala;2.01;102.1
Ryan Arcidiacono;Armador;1.91;88.5
Kevin Porter;Ala;1.93;98.9
Ryan Broekhoff;Ala;1.98;97.5
Goga Bitadze;Pivo;2.11;113.4
De'Anthony Melton;Armador;1.88;86.2
Kenrich Williams;Ala;1.98;95.3
Nickeil Alexander-Walker;Armador;1.96;93
Chuma Okeke;Pivo;2.03;104
Matisse Thybulle;Ala;1.96;91.2
Cameron Johnson;Ala;2.03;95.3
Ty Jerome;Armador;1.96;88.5
Luka Samanic;Ala;2.08;94.8
Keldon Johnson;Ala;1.96;95.7
Matt Thomas;Armador;1.93;89.4
Chris Boucher;Pivo;2.06;90.7
Jevon Carter;Armador;1.85;90.7
Deyonta Davis;Pivo;2.08;108.9
Jacob Evans;Armador;1.93;95.3
Terrance Ferguson;Armador;1.98;83.5
Daniel Gafford;Ala;2.08;106.1
Treveon Graham;Armador;1.96;99.3
Frank Jackson;Armador;1.91;93
Luke Kornet;Pivo;2.18;108.9
Frank Mason;Armador;1.8;86.2
Ben McLemore;Armador;1.91;85.7
Dzanan Musa;Ala;2.06;88.5
Elie Okobo;Armador;1.91;86.2
Jerome Robinson;Armador;1.93;86.2
JaKarr Sampson;Ala;2.01;101.2
Edmond Sumner;Armador;1.93;84.4
Gary Trent Jr;Armador;1.96;94.8
Moritz Wagner;Ala;2.11;108.9
Admiral Schofield;Ala;1.96;109.3
Bruno Fernando;Ala;2.06;111.1
Alen Smailagic;Ala;2.08;97.5
Eric Paschall;Ala;1.98;115.7
Carsen Edwards;Armador;1.8;90.7
KZ Okpala;Ala;2.03;97.5
Shake Milton;Pivo;1.96;93
Chimezie Metu;Ala;2.06;102.1
Keita Bates-Diop;Ala;2.03;106.6
Darius Bazley;Ala;2.03;90.7
Tony Bradley;Pivo;2.08;112.5
Hamidou Diallo;Armador;1.96;89.8
Melvin Frazier;Ala;1.96;91.2
Solomon Hill;Ala;1.98;102.5
Alize Johnson;Ala;2.01;91.2
Skal Labissiere;Ala;2.08;98
Tyler Lydon;Pivo;2.06;99.8
Sviatoslav Mykhailiuk;Armador;2.01;93
Johnathan Motley;Ala;2.03;104.3
Abdel Nader;Ala;1.96;102.1
Miles Plumlee;Pivo;2.11;115.7
Caleb Swanigan;Pivo;2.06;112.9
Jarred Vanderbilt;Ala;2.06;97.1
Jemerrio Jones;Ala;1.96;91.2
Jordan Poole;Armador;1.93;88
Talen Horton-Tucker;Armador;1.93;106.1
Yante Maten;Pivo;2.03;108.9
Thanasis Antetokounmpo;Ala;1.98;97.5
Naz Reid;Pivo;2.06;112.9
Ignas Brazdeikis;Ala;1.98;98
Deonte Burton;Armador;1.93;108.9
Justin James;Armador;2.01;86.2
Henry Ellenson;Pivo;2.08;109.8
Devonte Graham;Armador;1.85;83.9
Amile Jefferson;Pivo;2.06;101.6
Khyri Thomas;Armador;1.91;95.3
Theo Pinson;Armador;1.96;99.8
Gary Clark;Ala;1.98;102.1
Terance Mann;Armador;1.96;97.5
Cam Reynolds;Armador;2.01;102.1
Tyrone Wallace;Ala;1.96;90.7
Miye Oni;Ala;1.96;95.3
Malcolm Miller;Ala;2.01;93
Isaac Bonga;Armador;2.03;90.7
Isaiah Hartenstein;Pivo;2.13;113.4
Jordan McRae;Armador;1.96;81.2
Brandon Goodwin;Armador;1.83;81.6
Michael Frazier;Armador;1.91;90.7
Kostas Antetokounmpo;Ala;2.08;90.7
Jalen Lecque;Armador;1.91;86.2
Duncan Robinson;Ala;2.01;97.5
